session_id,institution,event_type,payload,client_ts,server_ts
1c3d1d0a-f846-4a0b-9ac6-5ba7f427d313,,session_start,"{""device"": {""ih"": 810, ""iw"": 1080, ""os"": ""ios"", ""sh"": 1080, ""sw"": 810, ""ua"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)"", ""dpr"": 2, ""form"": ""tablet"", ""touch"": true}}",1778742556963,2026-05-14T07:09:18.254128+00:00
1c3d1d0a-f846-4a0b-9ac6-5ba7f427d313,,screen_enter,"{""to"": ""register"", ""from"": ""privacy"", ""session_ms"": 1114, ""prev_screen_ms"": 1114}",1778742558077,2026-05-14T07:09:18.519439+00:00
1c3d1d0a-f846-4a0b-9ac6-5ba7f427d313,,register_complete,"{""type"": """", ""has_uls"": false, ""friction"": {""ulsFocusMs"": 0, ""instFocusMs"": 0, ""typeFocusMs"": 0, ""ulsFocusCount"": 0, ""instFocusCount"": 0, ""instInputCount"": 0, ""typeFocusCount"": 0}, ""has_inst"": false, ""t_register_ms"": 1073}",1778742559150,2026-05-14T07:09:19.247762+00:00
1c3d1d0a-f846-4a0b-9ac6-5ba7f427d313,,screen_enter,"{""to"": ""intro"", ""from"": ""register"", ""session_ms"": 2188, ""prev_screen_ms"": 1074}",1778742559151,2026-05-14T07:09:19.351679+00:00
1c3d1d0a-f846-4a0b-9ac6-5ba7f427d313,,screen_enter,"{""to"": ""c1"", ""from"": ""intro"", ""session_ms"": 3329, ""prev_screen_ms"": 1141}",1778742560292,2026-05-14T07:09:20.388676+00:00
1c3d1d0a-f846-4a0b-9ac6-5ba7f427d313,,c1_answer,"{""score"": 100, ""slots"": [0, 1, 2], ""tries"": 1, ""correct"": true, ""correct_count"": 3}",1778742592748,2026-05-14T07:09:52.951181+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,,session_start,"{""device"": {""ih"": 820, ""iw"": 1180, ""os"": ""ios"", ""sh"": 1180, ""sw"": 820, ""ua"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)"", ""dpr"": 2, ""form"": ""tablet"", ""touch"": true}}",1778746421842,2026-05-14T08:13:42.834161+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,,screen_enter,"{""to"": ""register"", ""from"": ""privacy"", ""session_ms"": 1943, ""prev_screen_ms"": 1943}",1778746423785,2026-05-14T08:13:43.865676+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,register_complete,"{""type"": ""public"", ""has_uls"": true, ""friction"": {""ulsFocusMs"": 3201, ""instFocusMs"": 17781, ""typeFocusMs"": 1609, ""ulsFocusCount"": 1, ""instFocusCount"": 3, ""instInputCount"": 7, ""typeFocusCount"": 1}, ""has_inst"": true, ""t_register_ms"": 27883}",1778746451668,2026-05-14T08:14:11.751916+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,screen_enter,"{""to"": ""intro"", ""from"": ""register"", ""session_ms"": 29827, ""prev_screen_ms"": 27884}",1778746451669,2026-05-14T08:14:11.829339+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,screen_enter,"{""to"": ""c1"", ""from"": ""intro"", ""session_ms"": 30975, ""prev_screen_ms"": 1148}",1778746452817,2026-05-14T08:14:12.893652+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,c1_answer,"{""score"": 100, ""slots"": [0, 1, 2], ""tries"": 1, ""correct"": true, ""correct_count"": 3}",1778746464749,2026-05-14T08:14:24.826658+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,screen_enter,"{""to"": ""d1"", ""from"": ""c1"", ""session_ms"": 46272, ""prev_screen_ms"": 15297}",1778746468114,2026-05-14T08:14:28.187554+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,screen_enter,"{""to"": ""c2"", ""from"": ""d1"", ""session_ms"": 53455, ""prev_screen_ms"": 7183}",1778746475297,2026-05-14T08:14:35.3854+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,c2_answer,"{""guess"": 1.2694145758661888, ""score"": 99, ""correct"": false}",1778746485480,2026-05-14T08:14:45.563925+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,screen_enter,"{""to"": ""d2"", ""from"": ""c2"", ""session_ms"": 64721, ""prev_screen_ms"": 11266}",1778746486563,2026-05-14T08:14:46.634393+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,screen_enter,"{""to"": ""c3"", ""from"": ""d2"", ""session_ms"": 68819, ""prev_screen_ms"": 4098}",1778746490661,2026-05-14T08:14:50.744414+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,c3_answer,"{""zone"": ""p2"", ""score"": 100, ""correct"": true}",1778746501210,2026-05-14T08:15:01.302874+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,screen_enter,"{""to"": ""d3"", ""from"": ""c3"", ""session_ms"": 81436, ""prev_screen_ms"": 12617}",1778746503278,2026-05-14T08:15:03.35753+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,screen_enter,"{""to"": ""finale"", ""from"": ""d3"", ""session_ms"": 85235, ""prev_screen_ms"": 3799}",1778746507077,2026-05-14T08:15:07.165073+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,session_complete,"{""scores"": [100, 99, 100], ""t_total_ms"": 85235, ""total_score"": 299}",1778746507077,2026-05-14T08:15:07.236898+00:00
1c59eec7-0991-4dc8-be7b-03a2a7dafc5f,USF Rainha Santa Isabel,screen_enter,"{""to"": ""privacy"", ""from"": ""finale"", ""session_ms"": 98333, ""prev_screen_ms"": 13098}",1778746520175,2026-05-14T08:15:20.355999+00:00
8999d1c6-717b-4ef4-bcb6-e1388fed6ec7,,session_start,"{""device"": {""ih"": 820, ""iw"": 1180, ""os"": ""ios"", ""sh"": 1180, ""sw"": 820, ""ua"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)"", ""dpr"": 2, ""form"": ""tablet"", ""touch"": true}}",1778746520376,2026-05-14T08:15:20.47002+00:00
89ba386d-aafd-4a8d-ad2f-a863bb280244,,session_start,"{""device"": {""ih"": 820, ""iw"": 1180, ""os"": ""ios"", ""sh"": 1180, ""sw"": 820, ""ua"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)"", ""dpr"": 2, ""form"": ""tablet"", ""touch"": true}}",1778747295074,2026-05-14T08:28:15.64944+00:00
